rxn,dE0
[O:1]([C:2]1([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])[H:6]>>[H:6][H:13].[O:1]=[C:2]([C:5]1([H:12])[C:3]([H:8])([H:9])[C:4]1([H:10])[H:11])[H:7],83.04149
[O:1]([C:2]1([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])[H:6]>>[O:1]=[C:2]([C:5]([C:4]([C:3]([H:6])([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:7],64.67186
[O:1]([C:2]1([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])[H:6]>>[H:8][H:11].[O:1]([C@@:2]1([H:7])[C:3]([H:9])=[C:4]([H:10])[C:5]1([H:12])[H:13])[H:6],117.38684
[O:1]([C:2]1([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])[H:6]>>[C:3]1([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13].[O:1]([C:2][H:7])[H:6],95.16292
[O:1]([C:2]1([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])[H:6]>>[C:3](=[C:4]([H:10])[H:11])([H:8])[H:9].[O:1]([C:2](=[C:5]([H:12])[H:13])[H:7])[H:6],76.12256
[O:1]([C:2]1([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])[H:6]>>[H:6][H:7].[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13],75.7846
[O:1]([C:2]1([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])[H:6]>>[C:2]1([H:7])=[C:5]([H:13])[C:4]([H:10])([H:11])[C:3]1([H:8])[H:9].[O:1]([H:6])[H:12],63.91336999999999
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]([C:2](=[C:3]=[C:4]([H:10])[H:11])[H:9])(/[C:6](=[N:5]\[H:12])[H:13])([H:7])[H:8],71.53520999999999
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])=[C:4]([H:11])[C@@:6]1([H:13])[N:5]2[H:12],53.53528000000001
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[N+:5]2([H:12])[C-:4]([H:11])[C@:6]12[H:13],88.08856999999999
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])([H:12])[N:5]=[C:6]1[H:13],61.11064
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1](=[C:6](/[C:4](=[N:5]\[H:12])[H:11])[H:13])([H:7])[H:8].[C:2](#[C:3][H:10])[H:9],83.9897
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@@:3]3([H:10])[C@:4]([H:11])([N:5]3[H:12])[C@:6]12[H:13],82.34334
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1](=[C:2](/[C:3](=[C:4]([C:6](=[N:5]/[H:12])\[H:13])/[H:11])[H:10])[H:9])([H:7])[H:8],39.93401
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])([H:13])[N:5]([H:12])[C:6]1,69.22851
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]3([H:10])[C@@:4]2([H:11])[C@@:6]1([H:13])[N:5]3[H:12],91.17161
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]=[C:4]([H:11])[N:5]=[C:6]1[H:13].[H:10][H:12],101.77149
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C+:2]([H:9])[C:3]([H:10])=[C-:4][N:5]([H:12])[C:6]1([H:11])[H:13],68.42445
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C+:2]([H:9])[C:3]([H:10])=[C-:4][C@:6]1([N:5]([H:11])[H:12])[H:13],57.29841999999999
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])([H:10])[C:3][C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13],68.30842
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1](=[C:2]([C@@:3]1([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13])[H:9])([H:7])[H:8],67.61502
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@:6]1([N:5]([C:4][H:11])[H:12])[H:13],94.69884
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])=[C:2]([H:9])[C:3]([H:10])=[C:4]([H:11])[N:5]([H:12])[C:6]1([H:8])[H:13],47.62406
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2][C:3]([H:9])([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13],71.09855
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N+:5]1([H:12])[C-:6]2[H:13],107.5331
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])=[C:2]([H:9])[C@:3]2([H:10])[C@@:4]3([H:11])[N:5]2[C@@:6]13[H:13].[H:8][H:12],78.19823000000001
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])=[N:5][C:6]1([H:12])[H:13],63.119530000000005
[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])([H:13])[C-:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C+:6]12,104.45378
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[O:1]=[C:2]=[C:3]([C:4]([C:5]([O:6][H:8])([H:11])[H:12])([H:9])[H:10])[H:7],69.91859000000001
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[O:1]([C:2]1=[C:3]([H:7])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:8],73.4589
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[O:1]=[C:2]([C:3]([C:4]([C:5][H:11])([H:9])[H:10])([H:7])[H:8])[O:6][H:12],91.47887
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[C:5](=[O:6])([H:11])[H:12].[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]1([H:9])[H:10],88.19929
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[C:4](=[C:5]([H:11])[H:12])([H:9])[H:10].[O:1]1[C:2](=[O:6])[C:3]1([H:7])[H:8],66.77865
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[O:1]([C@@:2]12[C:3]([H:7])([H:8])[C@:4]1([H:9])[C:5]([H:11])([H:12])[O:6]2)[H:10],116.10167
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[O:1]=[C:2]([C:3]([C:4]([H:9])([H:10])[H:11])([H:7])[H:8])[O+:6]=[C-:5][H:12],81.01454
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[H:7][H:12].[O:1]=[C:2]=[C:3]([C:4]([C:5](=[O:6])[H:11])([H:9])[H:10])[H:8],70.78125
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[C:4]([C:5](=[O:6])[H:12])([H:9])([H:10])[H:11].[O:1]=[C:2]=[C:3]([H:7])[H:8],92.7753
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[C:3](=[C:4]([H:9])[H:10])([H:7])[H:8].[C:5](=[O:6])([H:11])[H:12].[O+:1]#[C-:2],69.26093
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[O:1]1[C:2](=[C:3]([H:7])[H:8])[O:6][C:5]([H:11])([H:12])[C:4]1([H:9])[H:10],90.35531
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[H:8][H:10].[O:1]=[C:2]1[C:3]([H:7])=[C:4]([H:9])[C:5]([H:11])([H:12])[O:6]1,99.26998
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[O:1]=[C:2]([C:3]([C:4]([C:5](=[O:6])[H:12])([H:9])[H:10])([H:7])[H:8])[H:11],68.84016
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[C:3]1([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]1([H:11])[H:12].[O:1]=[C:2]=[O:6],74.38318000000001
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[O:1]([C@:2]12[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C@@:5]1([H:11])[O:6]2)[H:12],116.10086
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[C:5]([H:11])[H:12].[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[O:6]1,128.50505
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[H:10][H:12].[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])=[C:5]([H:11])[O:6]1,107.1701
[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1>>[C:3](=[C:4]([C:5]([H:9])([H:11])[H:12])[H:10])([H:7])[H:8].[O:1]=[C:2]=[O:6],66.89875
[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[O:4][C:5]1([H:12])[H:13])([H:6])([H:7])[H:8]>>[C:1]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:6])([H:7])[H:8].[O:4]=[C:5]([H:12])[H:13],56.70253
[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[O:4][C:5]1([H:12])[H:13])([H:6])([H:7])[H:8]>>[C:1]([C@@:2]([C:3]([O:4][H:13])([H:10])[H:11])([C:5][H:12])[H:9])([H:6])([H:7])[H:8],73.39786
[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[O:4][C:5]1([H:12])[H:13])([H:6])([H:7])[H:8]>>[C:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[O+:4]=[C-:5]1)([H:6])([H:7])[H:8].[H:12][H:13],76.42421
[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[O:4][C:5]1([H:12])[H:13])([H:6])([H:7])[H:8]>>[C:1]([C:2]([C:3]([O+:4]=[C-:5][H:13])([H:10])[H:11])([H:9])[H:12])([H:6])([H:7])[H:8],76.36138000000001
[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[O:4][C:5]1([H:12])[H:13])([H:6])([H:7])[H:8]>>[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[O:4][C@@:5]12[H:13].[H:6][H:12],94.94579
[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C:3](=[N:4][H:11])[N+:6]#[C-:5])[H:10])([H:7])([H:8])[H:9],48.842
[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([H:10])[H:11])([H:7])([H:8])[H:9].[C:3](#[N:4])[C:5]#[N:6],57.13168
[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](/[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],39.73928
[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C:3]#[N:4])[H:10])([H:7])([H:8])[H:9].[C:5]=[N:6][H:11],61.78744
[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C+:1]([N:2]([C:3]([N:4]([H:9])[H:11])=[C:5]=[N-:6])[H:10])([H:7])[H:8],40.23485
[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C:3][N:4]([N+:6]#[C-:5])[H:11])[H:10])([H:7])([H:8])[H:9],101.69592
[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C:3][N:4]([C:5]#[N:6])[H:11])[H:10])([H:7])([H:8])[H:9],66.8451
[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C:3]#[C:5]/[N:6]=[N:4]\[H:11])[H:10])([H:7])([H:8])[H:9],123.03985
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1]=[C:2](/[N:3]=[C:4](/[C:6]([C:5]([H:8])([H:10])[H:11])([H:12])[H:13])[H:9])[H:7],78.14616
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1]([C:2][N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7],73.58072
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1]=[C:2]([C:6]([C:5](/[C:4](=[N:3]/[H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:7],55.75476
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1](/[C:2](=[N:3]/[H:8])[H:7])[C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13],65.94685
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1](/[C:2](=[N:3]/[C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:7])[H:8],40.62056
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1](/[C:2](=[N:3]\[H:8])[H:7])[C:6]([C:4](=[C:5]([H:10])[H:11])[H:9])([H:12])[H:13],72.27154
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[C:4]1([H:9])=[C:5]([H:11])[C:6]1([H:12])[H:13].[O:1](/[C:2](=[N:3]\[H:8])[H:7])[H:10],71.21245
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1]=[C:2]([N+:3](=[C-:4][C:6]([C:5]([H:9])([H:10])[H:11])([H:12])[H:13])[H:8])[H:7],53.55321
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O+:1]1=[C:2]([H:7])[N:3]([H:8])[C-:4]([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13],53.36461
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1]=[C:2]([N+:3]([C-:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:8])[H:9])[H:7],81.29051
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1]=[C:2]([C:5]([N:3]([C:4](=[C:6]([H:12])[H:13])[H:9])[H:8])([H:10])[H:11])[H:7],93.97196
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[H:7][H:8].[O:1]=[C:2]=[N:3][C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13],69.97961
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[H:8][H:9].[O:1]=[C:2]([N:3]=[C:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:7],104.32752
[O:1]=[C:2]([N:3]([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7]>>[O:1]=[C:2]([N+:3]([C:4](=[C:5]([H:10])[H:11])[H:9])([C-:6]([H:12])[H:13])[H:8])[H:7],92.7896
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[O+:1](=[C-:2][H:7])[C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9],109.09909
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3]([C:4][C:5]([C:6]([H:10])([H:13])[H:14])([H:11])[H:12])([H:8])[H:9])[H:7],65.61033
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[O:1]([C:2][C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7],80.90156999999999
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[O:1]([C:2](=[C:3]([H:8])[H:9])[H:7])[C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14],82.2254
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[O:1]([C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])=[C:6]1[H:13])([H:8])[H:9])([H:7])[H:12])[H:14],69.16053000000001
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[C:3](=[C:4]1[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9].[O:1]=[C:2]([H:7])[H:10],74.51253
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[H:9][H:12].[O:1]=[C:2](/[C:3](=[C:4](\[C:5](=[C:6]([H:13])[H:14])[H:11])[H:10])[H:8])[H:7],83.18144000000001
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[C:5](=[C:6]([H:13])[H:14])([H:11])[H:12].[O:1]=[C:2]([C:4](=[C:3]([H:8])[H:9])[H:10])[H:7],65.40101
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[O:1]([C:2](=[C:3]([H:8])[H:9])[H:7])[C:6]([C:4](=[C:5]([H:11])[H:12])[H:10])([H:13])[H:14],60.22185
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[O:1](/[C:2](=[C:3](\[C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:8])[H:7])[H:9],66.67845
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[C:3](=[C:4]([C:5]([C:6]([H:7])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9].[O+:1]#[C-:2],47.97234
[O:1]=[C:2]([C:3]([C:4]1([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:8])[H:9])[H:7]>>[O+:1](=[C-:2][H:7])[C:4]1([H:10])[C:3]([H:8])([H:9])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14],95.61235
[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3](=[C:4]([H:10])[H:11])[N:5]([H:9])[H:12])([H:6])([H:7])[H:8],63.31152
[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3]#[N:5])([H:6])([H:7])[H:8].[C:4]([H:9])([H:10])([H:11])[H:12],95.98456
[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1]([O+:2]=[C-:3][N:5]([C:4]([H:9])([H:10])[H:11])[H:12])([H:6])([H:7])[H:8],66.90415
[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:9])([H:6])([H:7])[H:8].[C:3](=[C:4]([H:10])[H:11])=[N:5][H:12],71.35985
[C:1]([O:2]/[C:3]([C:4]([H:9])([H:10])[H:11])=[N:5]/[H:12])([H:6])([H:7])[H:8]>>[C:1](=[O:2])([H:7])[H:8].[C:3](\[C:4]([H:9])([H:10])[H:11])(=[N:5]\[H:12])[H:6],101.90894
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3]([O:6]/[C:5](=[N:4]/[H:10])[H:11])([H:8])[H:9])[H:7],63.885380000000005
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3]([N:4]([C:5][O:6][H:11])[H:10])([H:8])[H:9])[H:7],73.44075
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]1[C@:2]2([H:7])[C:3]([H:8])([H:9])[N:4]([H:10])[C@@:5]1([H:11])[O:6]2,61.967780000000005
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[H:10][H:11].[O:1]=[C:2]([C:3]([N:4]=[C:5]=[O:6])([H:8])[H:9])[H:7],73.23498000000001
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[C-:5]#[O+:6].[O:1]=[C:2]([C:3]([N:4]([H:10])[H:11])([H:8])[H:9])[H:7],76.24449
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O-:1][C:2](=[C:3]([N:4]([C+:5]([O:6][H:9])[H:11])[H:10])[H:8])[H:7],33.963809999999995
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]([C@@:2]1([H:7])[C:3]([H:8])([H:9])[N:4]1[H:10])[C:5](=[O:6])[H:11],61.6754
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3](/[N:4]=[C:5](/[O:6][H:10])[H:11])([H:8])[H:9])[H:7],42.1056
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([O+:6]=[C:5]([N:4]([C-:3]([H:8])[H:9])[H:10])[H:11])[H:7],57.15551
